DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,AQICategoryNumber,AQICategory,cityRank,cityName,cityCSA,cityState,cityPopulation2018Estimate,cityPopulation2010Census,cityLat,cityLong,cityZip
2015-01-01 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,30,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-01 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,65,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-02 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,24,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-02 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,56,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-03 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,8,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-03 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,53,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-04 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,20,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-04 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,37,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-05 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,31,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-05 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,31,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-06 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,19,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-06 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,41,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-07 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,29,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-01-07 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,61,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-01 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,25,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-01 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,59,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-02 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,31,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-02 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,40,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-03 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,31,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-03 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,36,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-04 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,8,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-04 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,78,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-05 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,33,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-05 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,35,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-06 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,26,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-06 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,52,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-07 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,14,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-02-07 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,69,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-03-01 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,29,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-03-01 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,61,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-03-02 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,40,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-03-02 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,59,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-03-03 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,26,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-03-03 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,43,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2015-03-04 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,16,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
