DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,AQICategoryNumber,AQICategory,cityRank,cityName,cityCSA,cityState,cityPopulation2018Estimate,cityPopulation2010Census,cityLat,cityLong,cityZip
2020-01-01 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,25,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2020-01-01 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,19,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2020-01-02 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,18,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2020-01-02 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,53,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2020-01-03 ,0,EST,Newark,NJ,40.7267,-74.1442,OZONE,3,1,Good,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2020-01-03 ,0,EST,Newark,NJ,40.7267,-74.1442,PM2.5,60,2,Moderate,1,New York City,"New York-Newark, NY-NJ-CT-PA Combined Statistical Area",NY,22679948,22255491,40.7128,-74.006,10001
2020-01-01 ,0,PST,Central LA CO,CA,34.0663,-118.2266,OZONE,38,1,Good,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-01 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM2.5,88,2,Moderate,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-01 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM10,30,1,Good,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-02 ,0,PST,Central LA CO,CA,34.0663,-118.2266,OZONE,36,1,Good,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-02 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM2.5,65,2,Moderate,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-02 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM10,33,1,Good,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-03 ,0,PST,Central LA CO,CA,34.0663,-118.2266,OZONE,31,1,Good,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-03 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM2.5,80,2,Moderate,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-03 ,0,PST,Central LA CO,CA,34.0663,-118.2266,PM10,33,1,Good,2,Los Angeles,"Los Angeles-Long Beach, CA Combined Statistical Area",CA,18764814,17877006,34.0522,-118.2437,90001
2020-01-01 ,0,CST,Chicago,IL,41.964,-87.659,OZONE,28,1,Good,3,Chicago,"Chicago-Naperville, IL-IN-WI Combined Statistical Area",IL,9866910,9840929,41.8781,-87.6298,60601
2020-01-01 ,0,CST,Chicago,IL,41.964,-87.659,PM2.5,32,1,Good,3,Chicago,"Chicago-Naperville, IL-IN-WI Combined Statistical Area",IL,9866910,9840929,41.8781,-87.6298,60601
